English,Russian
you,ты
I or I.,Я или я.
to,к
the,а
a or A.,а или A.
and,а также
that,что
it,Это
of,из
me,мне
what,какие
is,является
in,в
this,это
know,знать
I'm,Я
for,за
no,нет
have,имеют
my,мой
don't,не
just,просто
not,нет
do,делать
be,быть
on,на
your,ваш
was,был
we,мы
it's,это
with,с
so,так
but,но
all,все
well,Что ж
are,находятся
he,он
oh,ой
about,о
right,Правильно
you're,Вы
get,получить
here,здесь
out,вне
going,собирается
like,как
yeah,Да
if,если
her,ей
she,она
can,Можно
up,вверх
want,хочу
think,считать
that's,это
now,в настоящее время
go,идти
him,его
at,в
how,как
got,есть
there,там
one,один
did,делал
why,Почему
see,видеть
come,прийти
good,хороший
they,Oни
really,В самом деле
as,в качестве
would,бы
look,Смотреть
when,когда
time,время
will,будут
okay,хорошо
back,назад
can't,не мочь
mean,иметь в виду
tell,сказать
I'll,Больной
from,из
hey,Привет
were,мы
he's,Он
could,мог
didn't,не
yes,да
his,его
been,был
or,или же
something,что-нибудь
who,кто
because,потому что
some,немного
had,было
then,тогда
say,сказать
ok,Ok
take,брать
an,атмосфера
way,путь
us,нас
little,маленький
make,делать
need,необходимость
gonna,собираюсь
never,никогда
we're,были
too,слишком
love,любовь
she's,она
I've,Я
sure,Конечно
them,их
more,более
over,над
our,наш
sorry,Извините
where,куда
what's,Что
let,позволять
thing,вещь
am,являюсь
maybe,может быть
down,вниз
man,человек
has,имеет
uh,Эм-м-м
very,очень
by,по
there's,есть
should,должен
anything,что-либо
said,сказал
much,много
any,Любые
life,жизнь
even,даже
off,выключенный
please,пожалуйста
doing,делает
thank,благодарить
give,дайте
only,Только
thought,мысль
help,помощь
two,два
talk,разговаривать
people,люди
god,Бог
still,Все еще
wait,ждать
into,в
find,найти
nothing,ничего такого
again,опять таки
things,вещи
let's,Давайте
doesn't,не
call,вызов
told,сказал
great,большой
before,до
better,лучше
ever,Когда-либо
night,ночь
than,чем
away,прочь
first,первый
believe,полагать
other,Другой
feel,Чувствовать
everything,все
work,Работа
you've,Вы
fine,отлично
home,дом
after,после
last,последний
these,эти
day,день
keep,хранить
does,делает
put,помещать
around,около
stop,остановка
they're,они
I'd,Идентификатор
guy,парень
long,длинная
isn't,не
always,всегда
listen,Слушать
wanted,хотел
Mr.,Г-н.
guys,ребята
huh,хм
those,те
big,большой
lot,много
happened,получилось
thanks,Благодарность
won't,не будет
trying,пытающийся
kind,Добрый
wrong,неправильный
through,через
talking,разговор
made,сделанный
new,новый
being,существование
guess,предполагать
hi,Здравствуй
care,забота
bad,Плохо
mom,Мама
remember,запомнить
getting,получающий
we'll,Что ж
together,вместе
dad,папа
leave,оставлять
mother,мать
place,место
